0.2013477149,-0.0605387700,-0.3951941070,-0.8705506932,-0.9448020694,-0.7383091484,-0.8616142197,-0.9440733319,-0.7695512554,-0.8554657244,-0.9298276554,-0.6405935833,0.9096760436,0.8734971565,0.7282562589,-0.8924947823,-0.6875699032,-0.7809846942,-0.6576147045,-0.8363340093
0.0635483594,0.0273360314,-0.2385152130,-0.8771019414,-0.9296959955,-0.8486980050,-0.8702334411,-0.9275311305,-0.8513165923,-0.8708157192,-0.8968207715,-0.8930477850,0.8998911818,0.8734971565,0.7555881772,-0.9268088690,-0.6877446004,-0.7804264607,-0.6739373588,-0.8493460968
0.0802787796,-0.0418257917,-0.0705916061,-0.8707736407,-0.9140042375,-0.8926265070,-0.8648981969,-0.9050366810,-0.8986687594,-0.8627652474,-0.8968207715,-0.8930477850,0.8845695741,0.8637384375,0.8101191733,-0.9300456279,-0.6876613898,-0.7794654617,-0.6785164666,-0.8440025064
0.0737841401,-0.1941853652,-0.2345482192,-0.8723457786,-0.9453670006,-0.9202998095,-0.8662500098,-0.9432037772,-0.9269950562,-0.8627652474,-0.9602499590,-0.9316096408,0.8845695741,0.8637384375,0.8053053263,-0.9355156764,-0.6876855815,-0.7800347626,-0.6786636773,-0.8441356809
0.0392834687,0.0237363487,-0.1023142010,-0.8768664066,-0.9403665209,-0.9198434213,-0.8690996565,-0.9370471668,-0.9297205435,-0.8697148586,-0.9360493710,-0.9145300231,0.8993192012,0.8661439128,0.8053053263,-0.9492348320,-0.6877420164,-0.7809312264,-0.6797518571,-0.8463147437
0.0470100185,0.1701747410,0.0683823950,-0.8750917036,-0.9590683764,-0.9314929146,-0.8674814605,-0.9581411037,-0.9419467823,-0.8697148586,-0.9239579464,-0.9079141856,0.8993192012,0.9011019722,0.8315870551,-0.9519004953,-0.6877227679,-0.7809395270,-0.6804437601,-0.8452027168
0.0775788249,-0.0457543145,-0.0131695290,-0.8741776540,-0.9140021487,-0.9024725038,-0.8660242373,-0.9098938900,-0.9121873564,-0.8669875156,-0.9239579464,-0.8888866121,0.9045486235,0.8409153272,0.7913421736,-0.9370704777,-0.6877090992,-0.7794540203,-0.6792238609,-0.8432949756
0.0501779039,-0.2912027502,-0.2692374617,-0.8733787439,-0.9131172980,-0.8988573960,-0.8648172790,-0.9103268171,-0.9118653859,-0.8669875156,-0.9480522049,-0.8888866121,0.9026332208,0.8297584207,0.7873994589,-0.9161873531,-0.6877014597,-0.7770814720,-0.6772003061,-0.8403997858
0.0482930324,-0.0934958001,-0.1922814208,-0.8750773719,-0.9025124160,-0.9037787313,-0.8674076569,-0.8921710001,-0.9152105665,-0.8662717787,-0.9187303722,-0.9105097883,0.9026332208,0.8297584207,0.7873994589,-0.9296635311,-0.6877226555,-0.7784780652,-0.6783291936,-0.8445870724
0.0929209062,0.1732871416,0.0528912190,-0.8695014088,-0.9247798619,-0.9098467105,-0.8622965992,-0.9250285580,-0.9182329627,-0.8652230185,-0.8855344926,-0.8843195127,0.8894988510,0.8704149606,0.8072180315,-0.9364514893,-0.6876379471,-0.7794792212,-0.6795855835,-0.8414440484
